ANZSCO_Code,Occupation,ANZSCO Code  DIGITS
1111,Chief Executives and Managing Directors,4
1112,General Managers,4
1113,Legislators,4
1211,Aquaculture Farmers,4
1212,Crop Farmers,4
1213,Livestock Farmers,4
1214,Mixed Crop and Livestock Farmers,4
1311,"Advertising, Public Relations and Sales Manager",4
1321,Corporate Services Managers,4
1322,Finance Managers,4
1323,Human Resource Managers,4
1324,Policy and Planning Managers,4
1325,Research and Development Managers,4
1331,Construction Managers,4
1332,Engineering Managers,4
1333,"Importers, Exporters and Wholesalers",4
1334,Manufacturers,4
1335,Production Managers,4
1336,"Supply, Distribution and Procurement Managers",4
1341,Child Care Centre Managers,4
1342,Health and Welfare Services Managers,4
1343,School Principals,4
1344,Other Education Managers,4
1351,ICT Managers,4
1391,Commissioned Officers (Management),4
1392,Senior Non-Commissioned Defence Force Officers,4
1399,Other Specialist Managers,4
1411,Cafe and Restaurant Managers,4
1412,Caravan Park and Camping Ground Managers,4
1413,Hotel and Motel Managers,4
1414,Licensed Club Managers,4
1419,Other Accommodation and Hospitality Managers,4
1421,Retail Managers,4
1491,"Amusement, Fitness and Sports Centre Managers",4
1492,"Call, Contact Centre and Customer Service Managers",4
1493,Conference and Event Organisers,4
1494,Transport Services Managers,4
1499,"Other Hospitality, Retail and Service Managers",4
2111,"Actors, Dancers and Other Entertainers",4
2112,Music Professionals,4
2113,Photographers,4
2114,Visual Arts and Crafts Professionals,4
2121,"Artistic Directors, Media Producers and Presenters",4
2122,"Authors, and Book and Script Editors",4
2123,"Film, Television, Radio and Stage Directors",4
2124,Journalists and Other Writers,4
2211,Accountants,4
2212,"Auditors, Company Secretaries and Corporate Treasurers",4
2221,Financial Brokers,4
2222,Financial Dealers,4
2223,Financial Investment Advisers and Managers,4
2231,Human Resource Professionals,4
2232,ICT Trainers,4
2233,Training and Development Professionals,4
2241,"Actuaries, Mathematicians and Statisticians",4
2242,"Archivists, Curators and Records Managers",4
2243,Economists,4
2244,Intelligence and Policy Analysts,4
2245,Land Economists and Valuers,4
2246,Librarians,4
2247,Management and Organisation Analysts,4
2249,Other Information and Organisation Professionals,4
2251,Advertising and Marketing Professionals,4
2252,ICT Sales Professionals,4
2253,Public Relations Professionals,4
2254,Technical Sales Representatives,4
2311,Air Transport Professionals,4
2312,Marine Transport Professionals,4
2321,Architects and Landscape Architects,4
2322,Surveyors and Spatial Scientists,4
2323,"Fashion, Industrial and Jewellery Designers",4
2324,"Graphic and Web Designers, and Illustrators",4
2325,Interior Designers,4
2326,Urban and Regional Planners,4
2331,Chemical and Materials Engineers,4
2332,Civil Engineering Professionals,4
2333,Electrical Engineers,4
2334,Electronics Engineers,4
2335,"Industrial, Mechanical and Production Engineers",4
2336,Mining Engineers,4
2339,Other Engineering Professionals,4
2341,Agricultural and Forestry Scientists,4
2342,"Chemists, and Food and Wine Scientists",4
2343,Environmental Scientists,4
2344,"Geologists, Geophysicists and Hydrogeologists",4
2345,Life Scientists,4
2346,Medical Laboratory Scientists,4
2347,Veterinarians,4
2349,Other Natural and Physical Science Professionals,4
2411,Early Childhood (Pre-primary School) Teachers,4
2412,Primary School Teachers,4
2413,Middle School Teachers,4
2414,Secondary School Teachers,4
2415,Special Education Teachers,4
2421,University Lecturers and Tutors,4
2422,Vocational Education Teachers,4
2491,Education Advisers and Reviewers,4
2492,Private Tutors and Teachers,4
2493,Teachers of English to Speakers of Other Languages,4
2511,Nutrition Professionals,4
2512,Medical Imaging Professionals,4
2513,Occupational and Environmental Health Professionals,4
2514,Optometrists and Orthoptists,4
2515,Pharmacists,4
2519,Other Health Diagnostic and Promotion Professionals,4
2521,Chiropractors and Osteopaths,4
2522,Complementary Health Therapists,4
2523,Dental Practitioners,4
2524,Occupational Therapists,4
2525,Physiotherapists,4
2526,Podiatrists,4
2527,Audiologists and Speech Pathologists \ Therapists,4
2531,General Practitioners and Resident Medical Officers,4
2532,Anaesthetists,4
2533,Specialist Physicians,4
2534,Psychiatrists,4
2535,Surgeons,4
2539,Other Medical Practitioners,4
2541,Midwives,4
2542,Nurse Educators and Researchers,4
2543,Nurse Managers,4
2544,Registered Nurses,4
2611,ICT Business and Systems Analysts,4
2612,Multimedia Specialists and Web Developers,4
2613,Software and Applications Programmers,4
2621,"Database and Systems Administrators, and ICT Security Specialists",4
2631,Computer Network Professionals,4
2632,ICT Support and Test Engineers,4
2633,Telecommunications Engineering Professionals,4
2711,Barristers,4
2712,Judicial and Other Legal Professionals,4
2713,Solicitors,4
2721,Counsellors,4
2722,Ministers of Religion,4
2723,Psychologists and Psychotherapists,4
2724,Social Professionals,4
2725,Social Workers,4
2726,"Welfare, Recreation and Community Arts Workers",4
3111,Agricultural Technicians,4
3112,Medical Technicians,4
3113,Primary Products Inspectors,4
3114,Science Technicians,4
3121,"Architectural, Building and Surveying Technicians",4
3122,Civil Engineering Draftspersons and Technicians,4
3123,"Electrical Engineering Draftspersons, Technicians",4
3124,"Electronic Engineering Draftspersons, Technicians",4
3125,"Mechanical Engineering Draftspersons, Technicians",4
3126,Safety Inspectors,4
3129,Other Building and Engineering Technicians,4
3131,ICT Support Technicians,4
3132,Telecommunications Technical Specialists,4
3211,Automotive Electricians,4
3212,Motor Mechanics,4
3221,"Metal Casting, Forging and Finishing Trades",4
3222,Sheetmetal Trades Workers,4
3223,Structural Steel and Welding Trades Workers,4
3231,Aircraft Maintenance Engineers,4
3232,Metal Fitters and Machinists,4
3233,Precision Metal Trades Workers,4
3234,Toolmakers and Engineering Patternmakers,4
3241,Panelbeaters,4
3242,Vehicle Body Builders and Trimmers,4
3243,Vehicle Painters,4
3311,Bricklayers and Stonemasons,4
3312,Carpenters and Joiners,4
3321,Floor Finishers,4
3322,Painting Trades Workers,4
3331,Glaziers,4
3332,Plasterers,4
3333,Roof Tilers,4
3334,Wall and Floor Tilers,4
3341,Plumbers,4
3411,Electricians,4
3421,Airconditioning and Refrigeration Mechanics,4
3422,Electrical Distribution Trades Workers,4
3423,Electronics Trades Workers,4
3424,Telecommunications Trades Workers,4
3511,Bakers and Pastrycooks,4
3512,Butchers and Smallgoods Makers,4
